First Spin Amount,One Spin Win Percentage,Chance Second Spin Does Not Bust,Chance Second Spend Busts,Two Spin Win Percentage
0.05,0%,95%,5%,35%
0.10,0%,90%,10%,35%
0.15,0%,85%,15%,35%
0.20,0%,80%,20%,34%
0.25,0%,75%,25%,34%
0.30,0%,70%,30%,33%
0.35,0%,65%,35%,32%
0.40,3%,60%,40%,33%
0.45,4%,55%,45%,31%
0.50,6%,50%,50%,30%
0.55,8%,45%,55%,30%
0.60,9%,40%,60%,26%
0.65,15%,35%,65%,25%
0.70,18%,30%,70%,21%
0.75,27%,25%,75%,19%
0.80,36%,20%,80%,17%
0.85,41%,15%,85%,13%
0.90,57%,10%,90%,9%
0.95,66%,5%,95%,5%
1.00,90%,0%,100%,0%